000000	L	XEROX CORPORATION
000001	L	XEROX CORPORATION
000002	L	XEROX CORPORATION
000003	L	XEROX CORPORATION
000004	L	XEROX CORPORATION
000005	L	XEROX CORPORATION
000006	L	XEROX CORPORATION
000007	L	XEROX CORPORATION
000008	L	XEROX CORPORATION
000009	L	XEROX CORPORATION
00000A	L	OMRON TATEISI ELECTRONICS CO.
00000B	L	MATRIX CORPORATION
00000C	L	Cisco Systems, Inc
00000D	L	FIBRONICS LTD.
00000E	L	FUJITSU LIMITED
00000F	L	NEXT, INC.
000010	L	SYTEK INC.
000011	L	NORMEREL SYSTEMES
000012	L	INFORMATION TECHNOLOGY LIMITED
000013	L	CAMEX
000014	L	NETRONIX
000015	L	DATAPOINT CORPORATION
000016	L	DU PONT PIXEL SYSTEMS .
000017	L	Oracle
000018	L	WEBSTER COMPUTER CORPORATION
000019	L	APPLIED DYNAMICS INTERNATIONAL
00001A	L	ADVANCED MICRO DEVICES
00001B	L	Novell, Inc.
00001C	L	BELL TECHNOLOGIES
00001D	L	Cabletron Systems, Inc.
00001E	L	TELSIST INDUSTRIA ELECTRONICA
00001F	L	Telco Systems, Inc.
000020	L	DATAINDUSTRIER DIAB AB
000021	L	SUREMAN COMP. & COMMUN. CORP.
000022	L	VISUAL TECHNOLOGY INC.
000023	L	ABB INDUSTRIAL SYSTEMS AB
000024	L	CONNECT AS
000025	L	RAMTEK CORP.
000026	L	SHA-KEN CO., LTD.
000027	L	JAPAN RADIO COMPANY
000028	L	PRODIGY SYSTEMS CORPORATION
000029	L	IMC NETWORKS CORP.
00002A	L	TRW - SEDD/INP
00002B	L	CRISP AUTOMATION, INC
00002C	L	AUTOTOTE LIMITED
00002D	L	CHROMATICS INC
00002E	L	SOCIETE EVIRA
00002F	L	TIMEPLEX INC.
000030	L	VG LABORATORY SYSTEMS LTD
000031	L	QPSX COMMUNICATIONS, LTD.
000032	L	Marconi plc
000033	L	EGAN MACHINERY COMPANY
000034	L	NETWORK RESOURCES CORPORATION
000035	L	SPECTRAGRAPHICS CORPORATION
000036	L	ATARI CORPORATION
000037	L	OXFORD METRICS LIMITED
000038	L	CSS LABS
000039	L	TOSHIBA CORPORATION
00003A	L	CHYRON CORPORATION
00003B	L	i Controls, Inc.
00003C	L	AUSPEX SYSTEMS INC.
00003D	L	UNISYS
00003E	L	SIMPACT
00003F	L	SYNTREX, INC.
000040	L	APPLICON, INC.
000041	L	ICE CORPORATION
000042	L	METIER MANAGEMENT SYSTEMS LTD.
000043	L	MICRO TECHNOLOGY
000044	L	CASTELLE CORPORATION
000045	L	FORD AEROSPACE & COMM. CORP.
000046	L	OLIVETTI NORTH AMERICA
000047	L	NICOLET INSTRUMENTS CORP.
000048	L	Seiko Epson Corporation
000049	L	APRICOT COMPUTERS, LTD
00004A	L	ADC CODENOLL TECHNOLOGY CORP.
00004B	L	ICL DATA OY
00004C	L	NEC Corporation
00004D	L	DCI CORPORATION
00004E	L	AMPEX CORPORATION
00004F	L	LOGICRAFT, INC.
000050	L	RADISYS CORPORATION
000051	L	HOB ELECTRONIC GMBH & CO. KG
000052	L	Intrusion.com, Inc.
000053	L	COMPUCORP
000054	L	Schneider Electric
000055	L	COMMISSARIAT A L`ENERGIE ATOM.
000056	L	DR. B. STRUCK
000057	L	SCITEX CORPORATION LTD.
000058	L	RACORE COMPUTER PRODUCTS INC.
000059	L	Hellige GMBH
00005A	L	SysKonnect GmbH
00005B	L	ELTEC ELEKTRONIK AG
00005C	L	TELEMATICS INTERNATIONAL INC.
00005D	L	CS TELECOM
00005E	L	ICANN, IANA Department
00005F	L	Sumitomo Electric Industries, Ltd
000060	L	Kontron Europe GmbH
000061	L	GATEWAY COMMUNICATIONS
000062	L	BULL HN INFORMATION SYSTEMS
000063	L	BARCO CONTROL ROOMS GMBH
000064	L	Yokogawa Digital Computer Corporation
000065	L	Network General Corporation
000066	L	TALARIS SYSTEMS, INC.
000067	L	SOFT * RITE, INC.
000068	L	ROSEMOUNT CONTROLS
000069	L	CONCORD COMMUNICATIONS INC
00006A	L	COMPUTER CONSOLES INC.
00006B	L	Silicon Graphics
00006C	L	Schneider Electric
00006D	L	CRAY COMMUNICATIONS, LTD.
00006E	L	Artisoft Inc.
00006F	L	Madge Ltd.
000070	L	HCL LIMITED
000071	L	ADRA SYSTEMS INC.
000072	L	MINIWARE TECHNOLOGY
000073	L	SIECOR CORPORATION
000074	L	RICOH COMPANY LTD.
000075	L	Nortel Networks
000076	L	ABEKAS VIDEO SYSTEM
000077	L	INTERPHASE CORPORATION
000078	L	LABTAM LIMITED
000079	L	NETWORTH INCORPORATED
00007A	L	DANA COMPUTER INC.
00007B	L	RESEARCH MACHINES
00007C	L	AMPERE INCORPORATED
00007D	L	Oracle Corporation
00007E	L	CLUSTRIX CORPORATION
00007F	L	LINOTYPE-HELL AG
000080	L	CRAY COMMUNICATIONS A/S
000081	L	Bay Networks
000082	L	LECTRA SYSTEMES SA
000083	L	TADPOLE TECHNOLOGY PLC
000084	L	SUPERNET
000085	L	CANON INC.
000086	L	MEGAHERTZ CORPORATION
000087	L	HITACHI, LTD.
000088	L	Brocade Communications Systems LLC
000089	L	CAYMAN SYSTEMS INC.
00008A	L	DATAHOUSE INFORMATION SYSTEMS
00008B	L	INFOTRON
00008C	L	Alloy Computer Products (Australia) Pty Ltd
00008D	L	Cryptek Inc.
00008E	L	SOLBOURNE COMPUTER, INC.
00008F	L	Raytheon
000090	L	MICROCOM
000091	L	ANRITSU CORPORATION
000092	L	COGENT DATA TECHNOLOGIES
000093	L	PROTEON INC.
000094	L	ASANTE TECHNOLOGIES
000095	L	SONY TEKTRONIX CORP.
000096	L	MARCONI ELECTRONICS LTD.
000097	L	Dell EMC
000098	L	CROSSCOMM CORPORATION
000099	L	MTX, INC.
00009A	L	RC COMPUTER A/S
00009B	L	INFORMATION INTERNATIONAL, INC
00009C	L	ROLM MIL-SPEC COMPUTERS
00009D	L	LOCUS COMPUTING CORPORATION
00009E	L	MARLI S.A.
00009F	L	AMERISTAR TECHNOLOGIES INC.
0000A0	L	SANYO Electric Co., Ltd.
0000A1	L	MARQUETTE ELECTRIC CO.
0000A2	L	Bay Networks
0000A3	L	NETWORK APPLICATION TECHNOLOGY
0000A4	L	ACORN COMPUTERS LIMITED
0000A5	L	Tattile SRL
0000A6	L	NETWORK GENERAL CORPORATION
0000A7	L	NETWORK COMPUTING DEVICES INC.
0000A8	L	Stratus Technologies
0000A9	L	NETWORK SYSTEMS CORP.
0000AA	L	XEROX CORPORATION
0000AB	L	LOGIC MODELING CORPORATION
0000AC	L	CONWARE COMPUTER CONSULTING
0000AD	L	BRUKER INSTRUMENTS INC.
0000AE	L	DASSAULT ELECTRONIQUE
0000AF	L	Canberra Industries, Inc.
0000B0	L	RND-RAD NETWORK DEVICES
0000B1	L	Alpha Micro
0000B2	L	TELEVIDEO SYSTEMS, INC.
0000B3	L	CIMLINC INCORPORATED
0000B4	L	Edimax Technology Co. Ltd.
0000B5	L	DATABILITY SOFTWARE SYS. INC.
0000B6	L	MICRO-MATIC RESEARCH
0000B7	L	DOVE COMPUTER CORPORATION
0000B8	L	SEIKOSHA CO., LTD.
0000B9	L	MCDONNELL DOUGLAS COMPUTER SYS
0000BA	L	SIIG, INC.
0000BB	L	TRI-DATA
0000BC	L	Rockwell Automation
0000BD	L	RYOSEI, Ltd.
0000BE	L	THE NTI GROUP
0000BF	L	SYMMETRIC COMPUTER SYSTEMS
0000C0	L	WESTERN DIGITAL CORPORATION
0000C1	L	Madge Ltd.
0000C2	L	INFORMATION PRESENTATION TECH.
0000C3	L	Harris Corporation
0000C4	L	WATERS DIV. OF MILLIPORE
0000C5	L	Commscope
0000C6	L	EON SYSTEMS
0000C7	L	ARIX CORPORATION
0000C8	L	ALTOS COMPUTER SYSTEMS
0000C9	L	Emulex Corporation
0000CA	L	Commscope
0000CB	L	COMPU-SHACK ELECTRONIC GMBH
0000CC	L	DENSAN CO., LTD.
0000CD	L	Allied Telesis Labs Ltd
0000CE	L	MEGADATA CORP.
0000CF	L	HAYES MICROCOMPUTER PRODUCTS
0000D0	L	DEVELCON ELECTRONICS LTD.
0000D1	L	ADAPTEC INCORPORATED
0000D2	L	SBE, INC.
0000D3	L	WANG LABORATORIES INC.
0000D4	L	PURE DATA LTD.
0000D5	L	MICROGNOSIS INTERNATIONAL
0000D6	L	PUNCH LINE HOLDING
0000D7	L	DARTMOUTH COLLEGE
0000D8	L	Novell, Inc.
0000D9	L	NIPPON TELEGRAPH & TELEPHONE
0000DA	L	ATEX
0000DB	L	British Telecommunications plc
0000DC	L	HAYES MICROCOMPUTER PRODUCTS
0000DD	L	TCL INCORPORATED
0000DE	L	CETIA
0000DF	L	BELL & HOWELL PUB SYS DIV
0000E0	L	QUADRAM CORP.
0000E1	L	GRID SYSTEMS
0000E2	L	ACER TECHNOLOGIES CORP.
0000E3	L	INTEGRATED MICRO PRODUCTS LTD
0000E4	L	IN2 GROUPE INTERTECHNIQUE
0000E5	L	SIGMEX LTD.
0000E6	L	APTOR PRODUITS DE COMM INDUST
0000E7	L	Star Gate Technologies
0000E8	L	ACCTON TECHNOLOGY CORP.
0000E9	L	ISICAD, INC.
0000EA	L	UPNOD AB
0000EB	L	MATSUSHITA COMM. IND. CO. LTD.
0000EC	L	MICROPROCESS
0000ED	L	APRIL
0000EE	L	NETWORK DESIGNERS, LTD.
0000EF	L	KTI
0000F0	L	Samsung Electronics Co.,Ltd
0000F1	L	MAGNA COMPUTER CORPORATION
0000F2	L	SPIDER COMMUNICATIONS
0000F3	L	GANDALF DATA LIMITED
0000F4	L	Allied Telesis, Inc.
0000F5	L	DIAMOND SALES LIMITED
0000F6	L	APPLIED MICROSYSTEMS CORP.
0000F7	L	YOUTH KEEP ENTERPRISE CO LTD
0000F8	L	DIGITAL EQUIPMENT CORPORATION
0000F9	L	QUOTRON SYSTEMS INC.
0000FA	L	MICROSAGE COMPUTER SYSTEMS INC
0000FB	L	RECHNER ZUR KOMMUNIKATION
0000FC	L	MEIKO
0000FD	L	HIGH LEVEL HARDWARE
0000FE	L	Annapolis Micro Systems, Inc.
0000FF	L	CAMTEC ELECTRONICS LTD.
000100	L	EQUIP'TRANS
000102	L	3COM
000103	L	3COM
000104	L	DVICO Co., Ltd.
